Integrator Name,Logo,Location,Website,Categories,Supported Protocols,Industries Served,Certification Level,AI_Industries_Gen,Category_Audit,Categories + Category_Audit Combined,Slug,AI_Description,Top 100 Integrator
Heartland Water Technology,,"Hudson, MA, United States",http://oneheartland.com/,Systems Integration,"OPC UA,Modbus TCP,MQTT,DNP3","Water/Wastewater,Energy & Utilities,Manufacturing",Gold Integrator,"Water/Wastewater,Energy & Utilities,Manufacturing",Systems Integration,"Systems Integration, Systems Integration",,"Heartland Water Technology is a Woburn, Massachusetts-based integrator specializing in industrial wastewater and landfill leachate treatment. They provide on-site PFAS remediation and waste-to-energy solutions, with a focus on advanced thermal and upcycling technologies for sustainable waste management.",
Trutegra,,"Charlotte, NC, United States",http://www.trutegra.com/,"Systems Integration,PLC Programming,Migration & Upgrades,HMI Design,MES Systems","OPC UA,Modbus TCP,MQTT,Ethernet/IP,Siemens S7,PROFINET","Manufacturing,Food & Beverage,Automotive,General Automation",Gold Integrator,"Manufacturing,Food & Beverage,Automotive,General Automation","Systems Integration,PLC Programming,Migration & Upgrades,HMI Design,MES Systems","Systems Integration, PLC Programming, Migration & Upgrades, HMI Design, MES Systems, Systems Integration, PLC Programming, Migration & Upgrades, HMI Design, MES Systems",,"Trutegra is a Charlotte, North Carolina-based integrator specializing in bulk material handling and crane automation. They provide PLC and HMI integration services and turnkey automation solutions, with a focus on intelligent positioning and control systems for automated cranes.",
AFI Systems,,"Pineville, NC, United States",http://afi-systems.com/,"Systems Integration,PLC Programming,HMI Design,Migration & Upgrades","OPC UA,Modbus TCP,MQTT","Manufacturing,Water/Wastewater,Food & Beverage,Energy & Utilities",Gold Integrator,"Manufacturing,Water/Wastewater,Food & Beverage,Energy & Utilities","Systems Integration,PLC Programming,HMI Design,Migration & Upgrades","Systems Integration, PLC Programming, HMI Design, Migration & Upgrades, Systems Integration, PLC Programming, HMI Design, Migration & Upgrades",,"AFi Systems is a Charlotte, North Carolina-based integrator specializing in industrial automation and electronic control systems. They provide electromechanical repair and SCADA integration services, with a focus on advanced reverse engineering and system redesign for complex equipment challenges.",
Stantec,,"Fort Mill, SC, United States",http://www.stantec.com/,Systems Integration,"OPC UA,Modbus TCP,MQTT,DNP3,BACnet","Water/Wastewater,Energy & Utilities,Transportation,Government",Gold Integrator,"Water/Wastewater,Energy & Utilities,Transportation,Government",Systems Integration,"Systems Integration, Systems Integration",,"Stantec is an Edmonton, Alberta-based integrator specializing in engineering and environmental consulting. They provide architecture and infrastructure design services, with a focus on sustainable solutions for communities and industries.",
EWP Group,,"Fort Mill, SC, United States",http://www.lordandcompany.com/,"Systems Integration,PLC Programming,Migration & Upgrades,HMI Design,Data Visualization / Dashboards","OPC UA,Modbus TCP,MQTT,DNP3","Water/Wastewater,Energy & Utilities,Government,Manufacturing",Gold Integrator,"Water/Wastewater,Energy & Utilities,Government,Manufacturing","Systems Integration,PLC Programming,Migration & Upgrades,HMI Design,Data Visualization / Dashboards","Systems Integration, PLC Programming, Migration & Upgrades, HMI Design, Data Visualization / Dashboards, Systems Integration, PLC Programming, Migration & Upgrades, HMI Design, Data Visualization / Dashboards",,"EWP Group is a Fort Mill, South Carolina-based integrator specializing in water/wastewater and chemical/industrial sectors. They provide industrial automation and system integration services, with a focus on delivering turnkey control solutions tailored to regulatory and client requirements.",
Control Design Solutions Limited,,"Bowling Green, OH, United States",https://www.controldesignltd.com/,"Systems Integration,Migration & Upgrades,PLC Programming,HMI Design","OPC UA,Modbus TCP,MQTT","Manufacturing,Water/Wastewater,Food & Beverage",Gold Integrator,"Manufacturing,Water/Wastewater,Food & Beverage","Systems Integration,Migration & Upgrades,PLC Programming,HMI Design","Systems Integration, Migration & Upgrades, PLC Programming, HMI Design, Systems Integration, Migration & Upgrades, PLC Programming, HMI Design",,"Control Design Solutions Limited is a Findlay, Ohio-based integrator specializing in food processing and automotive industries. They provide control system design and system integration services, with a focus on tailored automation solutions for complex manufacturing environments.",
DataRealm Inc.,,"Detroit, MI, United States",http://www.datarealminc.com/,"Systems Integration,PLC Programming,MES Systems","OPC UA,Modbus TCP,MQTT","Automotive,Manufacturing,General Automation",Gold Integrator,"Automotive,Manufacturing,General Automation","Systems Integration,PLC Programming,MES Systems","Systems Integration, PLC Programming, MES Systems, Systems Integration, PLC Programming, MES Systems",,"DataRealm Inc. is a Windsor, Ontario-based integrator specializing in manufacturing and industrial automation. They provide controls engineering and custom software development, with a focus on connecting plant floor systems to enterprise-level information platforms.",
SSOE Group,,"Toledo, OH, United States",http://www.ssoe.com/,Systems Integration,"OPC UA,Modbus TCP,MQTT","Automotive,Life Sciences,Manufacturing,Food & Beverage",Gold Integrator,"Automotive,Life Sciences,Manufacturing,Food & Beverage",Systems Integration,"Systems Integration, Systems Integration",,"SSOE Group is a Toledo, Ohio-based integrator specializing in industrial manufacturing and advanced technology sectors. They provide architecture and engineering services, with a focus on delivering integrated project solutions for complex facilities.",
"Matrix Technologies, Inc.",,"Maumee, Ohio",http://www.matrixti.com/,"MES Systems,Systems Integration,PLC Programming,HMI Design,Data Visualization / Dashboards,Cloud / IIoT","OPC UA,Modbus TCP,MQTT,Ethernet/IP,Siemens S7,PROFINET","Food & Beverage,Water/Wastewater,Life Sciences,Manufacturing",Gold Integrator,"Food & Beverage,Water/Wastewater,Life Sciences,Manufacturing","Systems Integration,PLC Programming,HMI Design,MES Systems,Data Visualization / Dashboards,Cloud / IIoT","MES Systems, Systems Integration, PLC Programming, HMI Design, Data Visualization / Dashboards, Cloud / IIoT, Systems Integration, PLC Programming, HMI Design, MES Systems, Data Visualization / Dashboards, Cloud / IIoT",,"Matrix Technologies, Inc. is a Maumee, Ohio-based integrator specializing in the food & beverage and life sciences industries. They provide multidiscipline engineering and manufacturing automation services, with a focus on delivering turnkey project solutions as a single-source partner.",
Honeywell Intelligrated,,"Mason, OH, United States",http://www.intelligrated.com/,Systems Integration,"OPC UA,Modbus TCP,MQTT,Ethernet/IP,PROFINET,Siemens S7","Transportation,Manufacturing,General Automation",Gold Integrator,"Transportation,Manufacturing,General Automation",Systems Integration,"Systems Integration, Systems Integration",,"Honeywell Intelligrated is a Mason, Ohio-based integrator specializing in material handling automation for the logistics and retail distribution industries. They provide warehouse automation systems and software solutions, with a focus on integrated conveyor and sortation technology.",
Blue Ridge Control Systems,,"Asheville, NC, United States",http://www.blueridgecontrolsystems.com/,"Systems Integration,PLC Programming,HMI Design,Migration & Upgrades","OPC UA,Modbus TCP,MQTT","Manufacturing,Food & Beverage,Water/Wastewater",Gold Integrator,"Manufacturing,Food & Beverage,Water/Wastewater","Systems Integration,PLC Programming,HMI Design,Migration & Upgrades","Systems Integration, PLC Programming, HMI Design, Migration & Upgrades, Systems Integration, PLC Programming, HMI Design, Migration & Upgrades",,"Blue Ridge Control Systems is an Asheville, North Carolina-based integrator specializing in electronics and manufacturing industries. They provide electrical control equipment design and system integration services, with a focus on comprehensive user interface solutions and thorough project documentation.",
"Advanced Control Solutions, Inc.",,"Sylvania, OH, United States",http://www.acsitoledo.com/,"MES Systems,Systems Integration,PLC Programming,HMI Design","OPC UA,Modbus TCP,MQTT,Ethernet/IP,Siemens S7,PROFINET","Manufacturing,Food & Beverage,Water/Wastewater,Energy & Utilities",Gold Integrator,"Manufacturing,Food & Beverage,Water/Wastewater,Energy & Utilities","Systems Integration,PLC Programming,HMI Design","MES Systems, Systems Integration, PLC Programming, HMI Design, Systems Integration, PLC Programming, HMI Design",,"Advanced Control Solutions, Inc. is a Sylvania, Ohio-based integrator specializing in the glass and food processing industries. They provide control system integration and process optimization services, with a focus on implementing advanced model predictive control solutions for improved plant performance.",
Riveron,,"Dallas, Texas",https://riveron.com/ims/,"MES Systems,Cloud / IIoT,Data Visualization / Dashboards,Migration & Upgrades,Systems Integration","OPC UA,Modbus TCP,MQTT","Manufacturing,General Automation,Food & Beverage",Gold Integrator,"Manufacturing,General Automation,Food & Beverage","Cloud / IIoT,Data Visualization / Dashboards,MES Systems,Migration & Upgrades,Systems Integration","MES Systems, Cloud / IIoT, Data Visualization / Dashboards, Migration & Upgrades, Systems Integration, Cloud / IIoT, Data Visualization / Dashboards, MES Systems, Migration & Upgrades, Systems Integration",,"Riveron is a Dallas, Texas-based integrator specializing in manufacturing and industrial sectors. They provide digital manufacturing strategy and real-time data integration services, with a focus on implementing Industry 4.0 solutions to enhance operational efficiency and factory floor performance.",Top 100
Castor Engineering,,"Birmingham, MI, United States",https://www.castoreng.com/,"Systems Integration,PLC Programming,HMI Design,Migration & Upgrades,Data Visualization / Dashboards,MES Systems,Cloud / IIoT","OPC UA,Modbus TCP,MQTT,Ethernet/IP,Siemens S7,PROFINET","Water/Wastewater,Energy & Utilities,Manufacturing,Food & Beverage",Gold Integrator,"Water/Wastewater,Energy & Utilities,Manufacturing,Food & Beverage","Systems Integration,PLC Programming,HMI Design,Migration & Upgrades,Data Visualization / Dashboards,MES Systems,Cloud / IIoT","Systems Integration, PLC Programming, HMI Design, Migration & Upgrades, Data Visualization / Dashboards, MES Systems, Cloud / IIoT, Systems Integration, PLC Programming, HMI Design, Migration & Upgrades, Data Visualization / Dashboards, MES Systems, Cloud / IIoT",,"Castor Engineering is a Birmingham, Michigan-based integrator specializing in manufacturing and industrial automation. They provide turnkey system integration and engineering design services, with a focus on custom automation solutions tailored to client specifications.",
"Advanced Automation, LLC",,"Dover, NH, United States",http://www.advautomation.us/,Systems Integration,"OPC UA,Modbus TCP,MQTT","Manufacturing,General Automation,Food & Beverage,Water/Wastewater",Gold Integrator,"Manufacturing,General Automation,Food & Beverage,Water/Wastewater",Systems Integration,"Systems Integration, Systems Integration",,"Advanced Automation, LLC is a Dover, New Hampshire-based integrator specializing in manufacturing and industrial automation. They provide robotic machine tending and UL-508A panel building services, with a focus on delivering custom turnkey automation systems.",
Stefanini Group,,"Southfield, MI, United States",http://www.stefanini.com/,"Cloud / IIoT,Data Visualization / Dashboards,SCADA Security,Migration & Upgrades,Systems Integration","OPC UA,Modbus TCP,MQTT","Manufacturing,Automotive,Life Sciences",Gold Integrator,"Manufacturing,Automotive,Life Sciences","Cloud / IIoT,Data Visualization / Dashboards,SCADA Security,Migration & Upgrades,Systems Integration","Cloud / IIoT, Data Visualization / Dashboards, SCADA Security, Migration & Upgrades, Systems Integration, Cloud / IIoT, Data Visualization / Dashboards, SCADA Security, Migration & Upgrades, Systems Integration",,"Stefanini Group is a São Paulo, Brazil-based integrator specializing in information technology and financial services. They provide digital transformation consulting and managed IT services, with a focus on delivering customized, end-to-end technology solutions for global enterprises.",
